timestamp,title,description
2026-03-19 09:38:22,Erdberg,U3 Mittelbahnsteig - Ausgang Franzosengraben
2026-03-19 09:38:22,Tscherttegasse,U6 Bahnsteig Richtung Siebenhirten - Ausgang Tscherttegasse
2026-03-19 09:38:22,Perfektastraße,U6 Bahnsteig Richtung Siebenhirten - Ausgang Perfektastraße
2026-03-19 09:38:22,Spittelau,U6 Bahnsteig Richtung Floridsdorf - Zwischengeschoss - U4 Mittelbahnsteig
2026-03-19 09:38:22,Dresdner Straße,U6 Mittelbahnsteig - Ausgang Dresdner Straße
2026-03-19 09:38:22,Neue Donau,U6 Bahnsteig Richtung Floridsdorf - Ausgang Neue Donau
2026-03-19 09:38:22,Pilgramgasse,Fahrtrichtung U4 Heiligenstadt. - Ausgang Ramperstorffergasse
2026-03-19 09:38:22,Margaretengürtel,U4 Bahnsteig Richtung Heiligenstadt - Ausgang Morizgasse
2026-03-19 09:38:22,Schönbrunn,U4 Bahnsteig Richtung Heiligenstadt - Ausgang Schloß Schönbrunn
2026-03-19 09:38:22,Rathaus,U2 Bahnsteig Richtung Seestadt - Ausgang Rathaus
2026-03-19 09:38:22,Kettenbrückengasse,U4 Bahnsteig Richtung Heiligenstadt - Ausgang Wehrgasse
2026-03-19 09:38:22,Stadion,U2 Bahnsteig Richtung Karlsplatz - Ausgang Stadion
2026-03-19 09:38:22,Hausfeldstraße,"U2 Mittelbahnsteig - Ausgang Hausfeldstraße, zur Straßenbahnlinie 26 und zu allen Buslinien"
2026-03-19 09:38:22,46: Gleisbauarbeiten,Linie 46: Betrieb nur zwischen Joachimsthalerplatz und Thaliastraße U. Weiterfahrt bis Josefstädter Straße U. Weichen Sie ersatzweise auf die Linien 2 und 48A aus. Voraussichtliche Dauer: Mitte Juli. Grund: Gleisbauarbeiten im Bereich Lerchenfelder Straße 2.
2026-03-19 09:38:22,6: Gleisbauarbeiten,"Linie 6: Derzeit ist ein Betrieb nicht möglich. Weichen Sie ersatzweise auf die Linien U1, 1, 11, 18, 7A und 14A aus. Voraussichtliche Dauer: Mitte April. Grund: Gleisbauarbeiten im Bereich Quellenstraße 197."
2026-03-19 09:38:22,5: Falschparker,Linie 5: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.
2026-03-19 09:38:22,80A: Bauarbeiten,"Die Linie 80A wird in Richtung Neu Marx zwischen Friedensgasse und Stadionbrücke über die Wittelsbachstraße, Erdberger Lände und Schlachthausgasse umgeleitet. Die Haltestellen Friedensgasse, Lukschgasse, Rustenschacherallee, Klaschkaweg und Stadionbrücke können dadurch nicht eingehalten werden. Voraussichtliche Dauer: Ende Mai 2026. Grund: Bauarbeiten im Bereich Stadionallee."
2026-03-19 09:38:22,77A: Verkehrsüberlastung,Linie 77A: Unregelmäßige Intervalle in beiden Richtungen. Grund: Verkehrsüberlastung.
2026-03-19 09:38:22,40A: Verkehrsüberlastung,Linie 40A: Unregelmäßige Intervalle in beiden Richtungen. Grund: Verkehrsüberlastung.
2026-03-19 09:38:22,25: Verkehrsunfall,Linie 25: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.
2026-03-19 09:38:22,26: Verkehrsunfall,Linie 26: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.
2026-03-19 09:38:22,27: Verkehrsunfall,Linie 27: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.
2026-03-19 09:38:22,46: Verkehrsunfall,Linie 46: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.
2026-03-19 09:38:22,44: Verkehrsunfall,Linie 44: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.
2026-03-19 09:38:22,Gleisbauarbeiten Betrieb ab Thaliastraße >,Gleisbauarbeiten Betrieb ab Thaliastraße >
