line_id,description,start_time,end_time,logs_count,duration_minutes
Linie 1,Demonstration Umleitung ab Marienbrücke über Linie 1,2026-03-20 16:45:11,2026-03-20 18:45:10,63,119.98333333333333
Linie 1,Demonstration Umleitung ab Volksoper über Linie 1,2026-03-20 17:00:36,2026-03-20 18:15:10,40,74.56666666666666
Linie 18,Gleisschaden Züge halten bei der Linie 18,2026-03-21 10:30:16,2026-03-21 11:30:15,5,59.983333333333334
Linie 2,Demonstration Umleitung ab Karlsplatz über Lothringerstraße und Linie 2,2026-03-20 16:45:11,2026-03-20 19:00:26,80,135.25
Linie 25,Verkehrsunfall Einstieg bei Linie 25 Richtung Floridsdorf,2026-03-19 09:38:22,2026-03-19 09:46:18,3,7.933333333333334
Linie 31,Verkehrsunfall Einstieg bei Linie 31,2026-03-19 09:38:22,2026-03-19 09:46:18,4,7.933333333333334
Linie 31,Weichenschaden Einstieg bei Linie 31,2026-03-19 15:30:19,2026-03-19 16:00:28,6,30.15
Linie 31,Züge halten bei Linie 31,2026-03-19 18:15:10,2026-03-19 18:15:10,1,0.0
Linie 31,Züge halten gegenüber bei Linie 31,2026-03-19 18:30:18,2026-03-19 19:45:10,6,74.86666666666666
Linie 48,Gleisbauarbeiten Busse halten bei Linie 48A in Burggasse,2026-03-19 23:30:17,2026-03-22 03:45:08,112,3134.85
Linie 48,Gleisbauarbeiten Busse halten bei Linie 48A in Neustiftgasse,2026-03-19 23:45:10,2026-03-22 03:45:08,162,3119.9666666666667
Linie 5,Bauarbeiten Busse halten Pasettistraße vor Hellwagstraße (bei Linie 5A),2026-03-19 09:38:22,2026-03-22 18:15:15,334,4836.883333333333
Linie 6,Verkehrsunfall Einstieg bei Linie 6 RIchtung Geiereckstraße,2026-03-19 13:45:11,2026-03-19 14:30:19,4,45.13333333333333
Linie 7,Polizeieinsatz Busse halten bei Linie 7A,2026-03-20 18:45:10,2026-03-20 19:30:17,4,45.11666666666667
Other,"1 Bahnsteig Richtung Prater Hauptallee, 18 Bahnsteig Richtung Schlachthausgasse, 62 und Badner Bahn Bahnsteig Richtung Oper, Karlsplatz - Ausgang Landgutgasse",2026-03-22 08:45:09,2026-03-22 18:15:15,40,570.1
Other,"1 Bahnsteig Richtung Stefan Fadinger Platz, 62 Bahnsteig Richtung Lainz, Badner Bahn Bahnsteig Richtung Baden - Ausgang Wiedner Hauptstraße",2026-03-19 15:00:28,2026-03-22 18:15:15,208,4514.783333333334
Other,18 Bahnsteig Richtung Schlachthausgasse - Ausgang Äußerer Wiedner Gürtel,2026-03-19 15:15:11,2026-03-19 15:15:11,1,0.0
Other,Ausgang Neustiftgasse - U2 Bahnsteig Fahrtrichtung Karlsplatz,2026-03-20 11:30:17,2026-03-20 11:45:10,2,14.883333333333333
Other,Badner Bahn: Fahrtbehinderung in Richtung Wien Oper. Voraussichtliche Dauer: 00:10 Uhr. Grund: Polizeieinsatz im Bereich Purkytgasse .,2026-03-19 22:45:15,2026-03-19 22:45:15,1,0.0
Other,Bauarbeiten Busse halten Anschützgasse 40,2026-03-19 09:38:22,2026-03-22 18:15:15,335,4836.883333333333
Other,Bauarbeiten Busse halten Breitenfurter Straße 236-238,2026-03-19 09:38:22,2026-03-22 18:15:15,281,4836.883333333333
Other,Bauarbeiten Busse halten Landstraßer Hauptstraße 117-123,2026-03-19 09:38:22,2026-03-22 18:15:15,334,4836.883333333333
Other,Busse halten auf der Hauptfahrbahn,2026-03-19 22:00:23,2026-03-22 04:15:10,162,3254.7833333333333
Other,Demonstration Betrieb ab Börse,2026-03-20 17:00:36,2026-03-20 22:15:10,240,314.56666666666666
Other,Demonstration Betrieb ab Haus des Meeres,2026-03-21 14:15:10,2026-03-21 16:45:15,11,150.08333333333334
Other,Demonstration Betrieb ab Karlsplatz,2026-03-20 16:45:11,2026-03-20 17:30:23,24,45.2
Other,Demonstration Betrieb ab Landstraße S U,2026-03-22 13:30:17,2026-03-22 18:15:15,22,284.96666666666664
Other,Demonstration Betrieb ab Liszstraße,2026-03-22 13:15:10,2026-03-22 18:15:15,23,300.0833333333333
Other,Demonstration Betrieb ab Rathaus,2026-03-20 17:00:36,2026-03-20 18:15:10,54,74.56666666666666
Other,Demonstration Betrieb ab Schwarzenbergplatz,2026-03-20 17:00:36,2026-03-20 21:30:16,114,269.6666666666667
Other,Demonstration Betrieb ab Schwedenplatz,2026-03-20 17:00:36,2026-03-20 18:00:25,35,59.81666666666667
Other,Demonstration Betrieb ab St. Marx,2026-03-22 13:00:24,2026-03-22 18:15:15,251,314.85
Other,Demonstration Betrieb nur bis Börse,2026-03-20 16:45:11,2026-03-20 18:45:10,99,119.98333333333333
Other,Demonstration Betrieb nur bis Schwarzenbergplatz,2026-03-20 17:00:36,2026-03-20 21:30:16,209,269.6666666666667
Other,Demonstration Umleitung ab Börse über Franz-J.-Kai,2026-03-20 17:00:36,2026-03-20 21:15:09,144,254.55
Other,Demonstration Umleitung ab Schwarzenbergplatz über Franz.-J.-Kai,2026-03-20 17:00:36,2026-03-20 20:15:10,126,194.56666666666666
Other,Demonstration Züge halten bei Schottenring Nr. 19,2026-03-20 17:00:36,2026-03-20 21:30:16,19,269.6666666666667
Other,Demonstration Züge halten im Mittelgleis,2026-03-20 17:00:36,2026-03-20 18:00:25,5,59.81666666666667
Other,Derzeit kein Linienbetrieb,2026-03-22 17:15:10,2026-03-22 18:02:40,6,47.5
Other,Derzeit kommt es bei der Linie 64A in beiden Richtungen zu unterschiedlichen Intervallen. Grund: Betriebsstörung.,2026-03-20 07:45:15,2026-03-20 08:15:09,3,29.9
Other,Derzeit kommt es bei der Linie N71 in beiden Richtungen zu unterschiedlichen Intervallen. Grund: Polizeieinsatz.,2026-03-20 00:00:27,2026-03-20 01:00:25,5,59.96666666666667
