JAHR,MONAT,ZNR,ZNAME,STRTYP,STRNR,RINAME,FZTYP,total_vehicles,DTVMF,DTVMO,DTVDD,DTVFR,DTVSA,DTVSF,TVMAX,TVMAXT,clean_date,gps_coordinates,location_name,position_description
2025,MÄRZ,1075,Reichsbrücke,B,8,Leopoldstadt,Kfz,26977,28544,28550,28126,29791,24767,22602,47760,"Do,27.03.",2025-03-27,POINT (16.413131435401898 48.230151525004196),ReichsbrÃ¼cke,180m vor SchÃ¼ttaustr.
2025,MÄRZ,1075,Reichsbrücke,B,8,Leopoldstadt,LkwÄ,1674,1688,1846,1590,1782,1657,1634,5081,"So,30.03.",2025-03-30,POINT (16.413131435401898 48.230151525004196),ReichsbrÃ¼cke,180m vor SchÃ¼ttaustr.
2025,MÄRZ,1075,Reichsbrücke,B,8,Donaustadt,Kfz,16067,17416,16563,17705,17615,14382,12089,19871,"Do,20.03.",2025-03-20,POINT (16.413131435401898 48.230151525004196),ReichsbrÃ¼cke,180m vor SchÃ¼ttaustr.
2025,MÄRZ,1075,Reichsbrücke,B,8,Donaustadt,LkwÄ,282,365,371,381,310,121,96,462,"Di,25.03.",2025-03-25,POINT (16.413131435401898 48.230151525004196),ReichsbrÃ¼cke,180m vor SchÃ¼ttaustr.
2025,MÄRZ,1075,Reichsbrücke,B,8,Gesamt,Kfz,43044,45960,45112,45831,47406,39150,34691,66394,"Do,27.03.",2025-03-27,POINT (16.413131435401898 48.230151525004196),ReichsbrÃ¼cke,180m vor SchÃ¼ttaustr.
2025,MÄRZ,1075,Reichsbrücke,B,8,Gesamt,LkwÄ,1956,2053,2217,1972,2092,1778,1730,5190,"Do,27.03.",2025-03-27,POINT (16.413131435401898 48.230151525004196),ReichsbrÃ¼cke,180m vor SchÃ¼ttaustr.
2025,MÄRZ,1078,Westbahnhof,B,221,Wienzeile,Kfz,36497,36791,35866,36417,39070,37650,34111,39622,"Fr,07.03.",2025-03-07,POINT (16.338406148070383 48.19268835136871),Westbahnhof,R1: bei Mariahilfer Grtl. Hausnr. 21; R2: bei Mariahilfer Grtl. ON. 18
2025,MÄRZ,1078,Westbahnhof,B,221,Wienzeile,LkwÄ,691,885,895,911,794,333,233,961,"Mi,05.03.",2025-03-05,POINT (16.338406148070383 48.19268835136871),Westbahnhof,R1: bei Mariahilfer Grtl. Hausnr. 21; R2: bei Mariahilfer Grtl. ON. 18
2025,MÄRZ,1078,Westbahnhof,B,221,Stadthalle,Kfz,32686,32706,31523,32463,34912,34398,30892,35525,"Sa,08.03.",2025-03-08,POINT (16.338406148070383 48.19268835136871),Westbahnhof,R1: bei Mariahilfer Grtl. Hausnr. 21; R2: bei Mariahilfer Grtl. ON. 18
2025,MÄRZ,1078,Westbahnhof,B,221,Stadthalle,LkwÄ,677,849,865,866,780,369,264,961,"Do,27.03.",2025-03-27,POINT (16.338406148070383 48.19268835136871),Westbahnhof,R1: bei Mariahilfer Grtl. Hausnr. 21; R2: bei Mariahilfer Grtl. ON. 18
2025,MÄRZ,1078,Westbahnhof,B,221,Gesamt,Kfz,69184,69497,67389,68880,73982,72048,65003,74781,"Fr,07.03.",2025-03-07,POINT (16.338406148070383 48.19268835136871),Westbahnhof,R1: bei Mariahilfer Grtl. Hausnr. 21; R2: bei Mariahilfer Grtl. ON. 18
2025,MÄRZ,1078,Westbahnhof,B,221,Gesamt,LkwÄ,1368,1735,1761,1777,1575,701,497,1916,"Do,27.03.",2025-03-27,POINT (16.338406148070383 48.19268835136871),Westbahnhof,R1: bei Mariahilfer Grtl. Hausnr. 21; R2: bei Mariahilfer Grtl. ON. 18
2025,MÄRZ,1089,Floridsdorf-Br.,B,226,Brigittenau,Kfz,13287,14254,13784,14501,14098,11825,10692,14842,"Mi,12.03.",2025-03-12,POINT (16.38253216773368 48.246367038736096),Floridsdorfer BrÃ¼cke,170 m stadtauswÃ¤rts nach VLSA Friedrich Engelspl. (bei LMast 17)
2025,MÄRZ,1089,Floridsdorf-Br.,B,226,Brigittenau,LkwÄ,261,342,345,363,276,110,69,412,"Di,18.03.",2025-03-18,POINT (16.38253216773368 48.246367038736096),Floridsdorfer BrÃ¼cke,170 m stadtauswÃ¤rts nach VLSA Friedrich Engelspl. (bei LMast 17)
2025,MÄRZ,1089,Floridsdorf-Br.,B,226,Floridsdorf,Kfz,13892,15039,14620,15088,15417,12368,10599,16215,"Do,20.03.",2025-03-20,POINT (16.38253216773368 48.246367038736096),Floridsdorfer BrÃ¼cke,170 m stadtauswÃ¤rts nach VLSA Friedrich Engelspl. (bei LMast 17)
2025,MÄRZ,1089,Floridsdorf-Br.,B,226,Floridsdorf,LkwÄ,282,371,384,380,327,119,73,453,"Do,20.03.",2025-03-20,POINT (16.38253216773368 48.246367038736096),Floridsdorfer BrÃ¼cke,170 m stadtauswÃ¤rts nach VLSA Friedrich Engelspl. (bei LMast 17)
2025,MÄRZ,1089,Floridsdorf-Br.,B,226,Gesamt,Kfz,27180,29293,28404,29589,29515,24193,21291,30819,"Do,20.03.",2025-03-20,POINT (16.38253216773368 48.246367038736096),Floridsdorfer BrÃ¼cke,170 m stadtauswÃ¤rts nach VLSA Friedrich Engelspl. (bei LMast 17)
2025,MÄRZ,1089,Floridsdorf-Br.,B,226,Gesamt,LkwÄ,543,713,730,743,603,229,142,828,"Do,20.03.",2025-03-20,POINT (16.38253216773368 48.246367038736096),Floridsdorfer BrÃ¼cke,170 m stadtauswÃ¤rts nach VLSA Friedrich Engelspl. (bei LMast 17)
2025,MÄRZ,1096,Brigittenauer Brücke,B,14,Brigittenau,Kfz,12972,14384,14059,14751,13691,10552,9464,15299,"Do,20.03.",2025-03-20,POINT (16.391939638740144 48.236765175709394),Brigittenauer BrÃ¼cke,R1.1: 280m vor; Rampenabf. (Bischofsstab); R1.2: 105m vor; Rampenabf. (Parallelrampe); R2.1: 250m na.; Rampenauff. (Bischofsst.); R2.2: 115m na.; Rampenauff. (Parallelram.)
2025,MÄRZ,1096,Brigittenauer Brücke,B,14,Brigittenau,LkwÄ,293,399,421,417,318,83,56,491,"Do,20.03.",2025-03-20,POINT (16.391939638740144 48.236765175709394),Brigittenauer BrÃ¼cke,R1.1: 280m vor; Rampenabf. (Bischofsstab); R1.2: 105m vor; Rampenabf. (Parallelrampe); R2.1: 250m na.; Rampenauff. (Bischofsst.); R2.2: 115m na.; Rampenauff. (Parallelram.)
2025,MÄRZ,1096,Brigittenauer Brücke,B,14,Floridsdorf,Kfz,11079,11971,11515,12062,12268,9767,8643,12803,"Do,20.03.",2025-03-20,POINT (16.391939638740144 48.236765175709394),Brigittenauer BrÃ¼cke,R1.1: 280m vor; Rampenabf. (Bischofsstab); R1.2: 105m vor; Rampenabf. (Parallelrampe); R2.1: 250m na.; Rampenauff. (Bischofsst.); R2.2: 115m na.; Rampenauff. (Parallelram.)
2025,MÄRZ,1096,Brigittenauer Brücke,B,14,Floridsdorf,LkwÄ,262,340,361,343,304,112,82,395,"Do,20.03.",2025-03-20,POINT (16.391939638740144 48.236765175709394),Brigittenauer BrÃ¼cke,R1.1: 280m vor; Rampenabf. (Bischofsstab); R1.2: 105m vor; Rampenabf. (Parallelrampe); R2.1: 250m na.; Rampenauff. (Bischofsst.); R2.2: 115m na.; Rampenauff. (Parallelram.)
2025,MÄRZ,1096,Brigittenauer Brücke,B,14,Gesamt,Kfz,24051,26355,25574,26813,25958,20319,18107,28102,"Do,20.03.",2025-03-20,POINT (16.391939638740144 48.236765175709394),Brigittenauer BrÃ¼cke,R1.1: 280m vor; Rampenabf. (Bischofsstab); R1.2: 105m vor; Rampenabf. (Parallelrampe); R2.1: 250m na.; Rampenauff. (Bischofsst.); R2.2: 115m na.; Rampenauff. (Parallelram.)
