FID,OBJECTID,SHAPE,ZST_ID,ZST_NAME,STR_NR,BETRIEBNAHME,RICHTUNG_1,RICHTUNG_2,LAGE,GERAETEART,GERAETEART_TXT,SE_ANNO_CAD_DATA
DAUERZAEHLOGD.557331,557331,POINT (16.379336322827115 48.292896928422145),1194,Prager Straße,B3,2004-03-26,Zentrum,Langenzersdorf,R1: 5m nach Mayerweckstr.; R2: 5m nach Mayerweckstr.,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.557332,557332,POINT (16.341178158960396 48.135722503775334),1201,Vorarlberger Allee Ost,,2007-04-13,Laxenburger Str.,S1,100m nach Kreisverkehr,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.557333,557333,POINT (16.33910997225494 48.13491173912837),1202,Spange Vösendorf,,2007-04-13,Vösendorf,S1,140m nach Kreisverkehr,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.557334,557334,POINT (16.317131840072264 48.163835316772314),1207,Altmannsdorfer Straße II,B224,2009-11-01,Vösendorf,Zentrum,im Kreuzungsbereich Hetzendorfer Str.,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.557335,557335,POINT (16.338386633791632 48.13637270019372),1200,Vorarlberger Allee West,,2007-04-13,Zentrum,S1,100m nach Kreisverkehr,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.557336,557336,POINT (16.315295316822844 48.18748882959798),4004,Linke Wienzeile,,2011-01-26,,,Bereich Schönbrunner Schloßbrücke,R_SG,RAD_Scheifengerät,
DAUERZAEHLOGD.557337,557337,POINT (16.312301643872885 48.155040987091475),4008,Liesingbach,,2011-01-17,,,Osrambrücke,R_SG,RAD_Scheifengerät,
DAUERZAEHLOGD.557338,557338,POINT (16.367054009548458 48.20070697732078),4011,Operngasse,,2013-06-04,,,Esperantopark,R_SG,RAD_Scheifengerät,
DAUERZAEHLOGD.557339,557339,POINT (16.457664796254132 48.274646582059816),1624,Seyringer Straße,,2015-09-15,Wassermanngasse,Ernst-Klein-Gasse,im Kreuzungsbereich mit Oswald-Redlich-G.,M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.557340,557340,POINT (16.3591318249767 48.180929860529154),1608,Margaretengürtel,B221,2010-01-13,A23,Wienzeile,auf Unterführung Matzleinsdorfer Platz stadtauswärts  (Onr.52-56),M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.557341,557341,POINT (16.343871502971727 48.22055246872343),1610,Währinger Gürtel Süd,,2010-01-13,Wienzeile,,AKH-Steg,M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.557342,557342,POINT (16.372730016162045 48.19994873350147),1131,Karlsplatz,B1,2007-06-12,Heumarkt,Wienzeile,R1: in Lothringerstr. 10m nach Canovag.; R2: in Lothringerstr. 10m nach Canovag.,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.557343,557343,POINT (16.37730143872021 48.21201050297622),1172,Franz-Josefs-Kai,B227,2005-09-23,Erdberg,,30m nach Rotenturmstraße,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.557344,557344,POINT (16.461401471582104 48.14846044028482),1182,Simmeringer Hauptstraße,B225,2004-03-26,Zentrum,Schwechat,R1: bei ON. 495; R2: gegenüber Hausnr. 487,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.557537,557537,POINT (16.32462020228775 48.138133750232484),1188,Altmannsdorfer Straße,B224,2004-03-26,Zentrum,Vösendorf,bei ON. 218,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.557538,557538,POINT (16.411693570684445 48.270821609641274),1189,Shuttleworthstraße,B229,2005-09-23,Zentrum,Leopoldau,R1: 72m nach Divischg.; R2: 55m nach Divischg. (bei LMast 8),M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.557539,557539,POINT (16.361501419200057 48.26976530118838),1193,Heiligenstädter Straße,B14,2004-03-26,Zentrum,Klosterneuburg,bei ON. 295,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.557540,557540,POINT (16.44944508292855 48.23132683159907),1196,Erzherzog-Karl-Straße,B3,2004-03-26,Kagran,Großenzersdorf,R1: 40m nach Polgarstraße; R2: 25m nach Polgarstraße,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.557541,557541,POINT (16.367603962133508 48.21906215561868),1204,Türkenstraße,,2007-12-18,Währinger Str:,,40m nach Kreuzung mit Roßauer Lände,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.557542,557542,POINT (16.390224864065715 48.2181435033125),4012,Praterstern,,2013-06-03,,,Heinestraße ON. 42,R_SG,RAD_Scheifengerät,
DAUERZAEHLOGD.557543,557543,POINT (16.39520278496993 48.20944428633443),1607,Weißgerber Lände,B227,2010-01-13,A4,,nach Kreuzung Custozzag. (Onr.30-36),M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.557544,557544,POINT (16.322239523998668 48.205839556964136),1615,Gablenzgasse,B223,2010-01-13,Zentrum,,im im Bereich ON.70 (Tankstellenausfahrt),M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.557545,557545,POINT (16.354794623017753 48.195280733870625),4010,Margaritensteg,,2012-05-14,,,Rechte Wienzeile ON. 69,R_SG,RAD_Scheifengerät,
DAUERZAEHLOGD.557546,557546,POINT (16.439589721353684 48.15594371520115),1611,Simmeringer Hauptstraße,B225,2010-01-13,Zentrum,Schwechat,zwischen ON.295 und ON.235,M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.557547,557547,POINT (16.28393474681946 48.179826473154456),1613,Lainzer Straße,,2010-01-13,Fasangartenstr.,Zentrum,auf Höhe Veitingergasse,M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.557548,557548,POINT (16.351433170108255 48.20419797059065),1213,Burggasse II,,2014-04-21,,,Burggasse nach Kirchengasse,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.557549,557549,POINT (16.45785042578498 48.24220271989174),1603,Hirschstettner Straße,,2007-08-22,S2,Kagran,Hirschstettner Str. ON.43,M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.557550,557550,POINT (16.403060564607642 48.25813945887836),1617,Angerer Straße,,2010-01-13,Brünner Str.,Donaufelder Str.,auf Höhe ON. 18,M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.557551,557551,POINT (16.413131435401898 48.230151525004196),1075,Reichsbrücke,B8,2006-05-05,Leopoldstadt,Donaustadt,180m vor Schüttaustr.,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.557552,557552,POINT (16.38253216773368 48.246367038736096),1089,Floridsdorfer Brücke,B226,1996-02-04,Brigittenau,Floridsdorf,170 m stadtauswärts nach VLSA Friedrich Engelspl. (bei LMast 17),M_SG,MIV_Scheifengerät,
